#wire	x1	y1	z1	x2	y2	z2	on/off
131	-95	22.75	-40	95	-167.25	-40	on
132	-95	39.75	-40	95	-150.25	-40	on
133	-95	56.75	-40	95	-133.25	-40	on
134	-95	73.75	-40	95	-116.25	-40	on
135	-95	90.75	-40	95	-99.25	-40	on
136	-95	107.75	-40	95	-82.25	-40	on
137	-95	124.75	-40	95	-65.25	-40	on
138	-95	141.75	-40	95	-48.25	-40	on
139	-95	158.75	-40	95	-31.25	-40	on
140	-95	175.75	-40	95	-14.25	-40	on
141	-95	192.75	-40	95	2.75	-40	on
142	-95	209.75	-40	95	19.75	-40	on
143	-95	226.75	-40	95	36.75	-40	on
144	-95	-93	-56	95	-93	-56	on
145	-95	-81	-56	95	-81	-56	on
146	-95	-69	-56	95	-69	-56	on
147	-95	-57	-56	95	-57	-56	on
148	-95	-45	-56	95	-45	-56	on
149	-95	-33	-56	95	-33	-56	on
150	-95	-21	-56	95	-21	-56	on
151	-95	-9	-56	95	-9	-56	on
152	-95	3	-56	95	3	-56	on
153	-95	15	-56	95	15	-56	on
154	-95	27	-56	95	27	-56	on
155	-95	39	-56	95	39	-56	on
156	-95	51	-56	95	51	-56	on
157	-95	63	-56	95	63	-56	on
158	-95	75	-56	95	75	-56	on
159	-95	87	-56	95	87	-56	on
160	-95	-226.75	-72	95	-36.75	-72	on
161	-95	-209.75	-72	95	-19.75	-72	on
162	-95	-192.75	-72	95	-2.75	-72	on
163	-95	-175.75	-72	95	14.25	-72	on
164	-95	-158.75	-72	95	31.25	-72	on
165	-95	-141.75	-72	95	48.25	-72	on
166	-95	-124.75	-72	95	65.25	-72	on
167	-95	-107.75	-72	95	82.25	-72	on
168	-95	-90.75	-72	95	99.25	-72	on
169	-95	-73.75	-72	95	116.25	-72	on
170	-95	-56.75	-72	95	133.25	-72	on
171	-95	-39.75	-72	95	150.25	-72	on
172	-95	-22.75	-72	95	167.25	-72	on
173	-95	-5.75	-72	95	184.25	-72	on
174	-95	11.25	-72	95	201.25	-72	on
175	-95	28.25	-72	95	218.25	-72	on
176	-95	-36.75	-88	95	-226.75	-88	on
177	-95	-19.75	-88	95	-209.75	-88	on
178	-95	-2.75	-88	95	-192.75	-88	on
179	-95	14.25	-88	95	-175.75	-88	on
180	-95	31.25	-88	95	-158.75	-88	on
181	-95	48.25	-88	95	-141.75	-88	on
182	-95	65.25	-88	95	-124.75	-88	on
183	-95	82.25	-88	95	-107.75	-88	on
184	-95	99.25	-88	95	-90.75	-88	on
185	-95	116.25	-88	95	-73.75	-88	on
186	-95	133.25	-88	95	-56.75	-88	on
187	-95	150.25	-88	95	-39.75	-88	on
188	-95	167.25	-88	95	-22.75	-88	on
189	-95	184.25	-88	95	-5.75	-88	on
190	-95	201.25	-88	95	11.25	-88	on
191	-95	218.25	-88	95	28.25	-88	on
